Student ID,First Name,Middle Name,Last Name,Full Name,Date of Birth,Gender,Email,Enrollment Date,Status,Section,Created Date
cmlqu2p0d03lusd8c9mkhfp6f,أسامة,,الحسن,أسامة الحسن,2011-04-26,M,student874@databayt.org,2026-02-17,Active,Grade 9-C,2026-02-17
cmlqu2jid038ksd8cbt632em7,أسامة,,الحسن,أسامة الحسن,2013-11-21,M,student732@databayt.org,2026-02-17,Active,Grade 7-A,2026-02-17
cmlqu1ysl01r7sd8crvkuosbe,أسامة,,الحسن,أسامة الحسن,2019-10-15,M,student152@databayt.org,2026-02-17,Active,Grade 1-C,2026-02-17
cmlqu1ttv01dxsd8c4040ayq5,أسامة,,الحسن,أسامة الحسن,2021-07-02,M,student62@databayt.org,2026-02-17,Active,Grade -1-B,2026-02-17
cmlqu23mn024isd8cklfrwrvs,أسامة,,الحسن,أسامة الحسن,2017-11-16,M,student319@databayt.org,2026-02-17,Active,Grade 3-A,2026-02-17
cmlqu28wc02hvsd8czrsxd09i,أسامة,,الحسن,أسامة الحسن,2016-11-01,M,student371@databayt.org,2026-02-17,Active,Grade 4-A,2026-02-17
cmlqu2e9i02v6sd8cth5jl7q4,أسامة,,الحسن,أسامة الحسن,2014-05-16,M,student645@databayt.org,2026-02-17,Active,Grade 6-B,2026-02-17
cmlqu2uc403z2sd8c0dzbditg,أسامة,,الحسن,أسامة الحسن,2009-04-30,M,student985@databayt.org,2026-02-17,Active,Grade 11-A,2026-02-17
cmlqu2w4m043osd8cztfzpgkr,أسامة,,بشير,أسامة بشير,2008-06-11,M,student594@databayt.org,2026-02-17,Active,Grade 12-A,2026-02-17
cmlqu2qnz03qasd8cff66sj82,أسامة,,بشير,أسامة بشير,2010-07-12,M,student820@databayt.org,2026-02-17,Active,Grade 10-B,2026-02-17
cmlqu20dp01vpsd8cxnqr1jbz,أسامة,,بشير,أسامة بشير,2018-12-04,M,student476@databayt.org,2026-02-17,Active,Grade 2-B,2026-02-17
cmlqu25kp028vsd8czct1n41m,أسامة,,بشير,أسامة بشير,2017-06-26,M,student448@databayt.org,2026-02-17,Active,Grade 3-A,2026-02-17
cmlqu2fsv02zksd8c7lnpngtp,أسامة,,بشير,أسامة بشير,2014-07-13,M,student723@databayt.org,2026-02-17,Active,Grade 6-B,2026-02-17
cmlqu1viy01i8sd8coqyxt6ro,أسامة,,بشير,أسامة بشير,2020-09-01,M,student78@databayt.org,2026-02-17,Active,Grade 0-A,2026-02-17
cmlqu2l7b03d0sd8c41l5ur0n,أسامة,,بشير,أسامة بشير,2012-02-22,M,student804@databayt.org,2026-02-17,Active,Grade 8-B,2026-02-17
cmlqu2aw802masd8c8mhscol9,أسامة,,بشير,أسامة بشير,2015-09-10,M,student540@databayt.org,2026-02-17,Active,Grade 5-A,2026-02-17
cmlqu27cd02desd8chqt194w8,أسامة,,جلال,أسامة جلال,2016-03-12,M,student384@databayt.org,2026-02-17,Active,Grade 4-A,2026-02-17
cmlqu2ch302qnsd8cq5gq233u,أسامة,,جلال,أسامة جلال,2015-01-22,M,student510@databayt.org,2026-02-17,Active,Grade 5-B,2026-02-17
cmlqu2hq20340sd8c68y1facr,أسامة,,جلال,أسامة جلال,2013-10-06,M,student636@databayt.org,2026-02-17,Active,Grade 7-B,2026-02-17
cmlqu2sle03utsd8chnt4hu70,أسامة,,جلال,أسامة جلال,2010-12-11,M,student937@databayt.org,2026-02-17,Active,Grade 10-A,2026-02-17
cmlqu1x3h01mtsd8cwxnbzeth,أسامة,,جلال,أسامة جلال,2019-12-25,M,student168@databayt.org,2026-02-17,Active,Grade 1-C,2026-02-17
cmlqu2myt03hhsd8c6oq8hs5e,أسامة,,جلال,أسامة جلال,2012-08-06,M,student814@databayt.org,2026-02-17,Active,Grade 8-C,2026-02-17
cmlqu2xtr0485sd8cvgi0qi4y,أسامة,,جلال,أسامة جلال,2008-12-22,M,student738@databayt.org,2026-02-17,Active,Grade 12-C,2026-02-17
cmlqu221n01zzsd8cs6lsntub,أسامة,,جلال,أسامة جلال,2018-02-13,M,student209@databayt.org,2026-02-17,Active,Grade 2-A,2026-02-17
cmlqu2wli044tsd8c964o32of,أمينة,,سليمان,أمينة سليمان,2008-11-25,F,student109@databayt.org,2026-02-17,Active,Grade 12-A,2026-02-17
cmlqu2r3f03resd8cc6x08ao2,أمينة,,سليمان,أمينة سليمان,2010-10-10,F,student869@databayt.org,2026-02-17,Active,Grade 10-A,2026-02-17
cmlqu2lna03e3sd8c2dxs15q0,أمينة,,سليمان,أمينة سليمان,2012-12-06,F,student790@databayt.org,2026-02-17,Active,Grade 8-B,2026-02-17
cmlqu1vww01jesd8cqopdpbpy,أمينة,,سليمان,أمينة سليمان,2020-01-22,F,student136@databayt.org,2026-02-17,Active,Grade 0-B,2026-02-17
cmlqu20rn01wrsd8ctwbnof2k,أمينة,,سليمان,أمينة سليمان,2018-11-07,F,student183@databayt.org,2026-02-17,Active,Grade 2-C,2026-02-17
cmlqu266u02a2sd8calbackmi,أمينة,,سليمان,أمينة سليمان,2017-04-22,F,student450@databayt.org,2026-02-17,Active,Grade 3-B,2026-02-17
cmlqu2giw030qsd8c9df14io4,أمينة,,سليمان,أمينة سليمان,2014-02-12,F,student598@databayt.org,2026-02-17,Active,Grade 6-A,2026-02-17
cmlqu2b9k02ndsd8cmvj0bexk,أمينة,,سليمان,أمينة سليمان,2015-06-11,F,student548@databayt.org,2026-02-17,Active,Grade 5-A,2026-02-17
cmlqu2pex03mssd8c8s5z94cw,أمينة,,عيسى,أمينة عيسى,2011-12-16,F,student829@databayt.org,2026-02-17,Active,Grade 9-B,2026-02-17
cmlqu2k1a0399sd8cs6uujg28,أمينة,,عيسى,أمينة عيسى,2013-01-08,F,student760@databayt.org,2026-02-17,Active,Grade 7-C,2026-02-17
cmlqu29dc02j1sd8ch5x54h5o,أمينة,,عيسى,أمينة عيسى,2016-04-02,F,student405@databayt.org,2026-02-17,Active,Grade 4-C,2026-02-17
cmlqu1u8501exsd8c2wklybcz,أمينة,,عيسى,أمينة عيسى,2021-07-23,F,student28@databayt.org,2026-02-17,Active,Grade -1-A,2026-02-17
